id,galaxy,position,system,planet_id
528,1,10,48,
529,1,0,49,
530,1,1,49,
531,1,2,49,
532,1,3,49,
533,1,4,49,
534,1,5,49,
535,1,6,49,
536,1,7,49,
537,1,8,49,
538,1,9,49,
539,1,10,49,
540,1,0,50,
541,1,1,50,
542,1,2,50,
543,1,3,50,
544,1,4,50,
545,1,5,50,
546,1,6,50,
547,1,7,50,
548,1,8,50,
549,1,9,50,
550,1,10,50,
551,1,0,51,
552,1,1,51,
553,1,2,51,
554,1,3,51,
555,1,4,51,
556,1,5,51,
557,1,6,51,
558,1,7,51,
559,1,8,51,
560,1,9,51,
561,1,10,51,
562,1,0,52,
563,1,1,52,
564,1,2,52,
565,1,3,52,
566,1,4,52,
567,1,5,52,
568,1,6,52,
569,1,7,52,
570,1,8,52,
571,1,9,52,
572,1,10,52,
573,1,0,53,
574,1,1,53,
575,1,2,53,
576,1,3,53,
577,1,4,53,
578,1,5,53,
579,1,6,53,
580,1,7,53,
581,1,8,53,
582,1,9,53,
583,1,10,53,
584,1,0,54,
585,1,1,54,
586,1,2,54,
587,1,3,54,
588,1,4,54,
589,1,5,54,
590,1,6,54,
591,1,7,54,
592,1,8,54,
593,1,9,54,
594,1,10,54,
595,1,0,55,
596,1,1,55,
597,1,2,55,
598,1,3,55,
599,1,4,55,
600,1,5,55,
601,1,6,55,
602,1,7,55,
603,1,8,55,
604,1,9,55,
605,1,10,55,
606,1,0,56,
607,1,1,56,
608,1,2,56,
609,1,3,56,
610,1,4,56,
611,1,5,56,
612,1,6,56,
613,1,7,56,
614,1,8,56,
615,1,9,56,
616,1,10,56,
617,1,0,57,
618,1,1,57,
619,1,2,57,
620,1,3,57,
621,1,4,57,
622,1,5,57,
623,1,6,57,
624,1,7,57,
625,1,8,57,
626,1,9,57,
627,1,10,57,
628,1,0,58,
629,1,1,58,
630,1,2,58,
631,1,3,58,
632,1,4,58,
633,1,5,58,
634,1,6,58,
635,1,7,58,
636,1,8,58,
637,1,9,58,
638,1,10,58,
639,1,0,59,
640,1,1,59,
641,1,2,59,
642,1,3,59,
643,1,4,59,
644,1,5,59,
645,1,6,59,
646,1,7,59,
647,1,8,59,
648,1,9,59,
649,1,10,59,
650,1,0,60,
651,1,1,60,
652,1,2,60,
653,1,3,60,
654,1,4,60,
655,1,5,60,
656,1,6,60,
657,1,7,60,
658,1,8,60,
659,1,9,60,
660,1,10,60,
661,1,0,61,
662,1,1,61,
663,1,2,61,
664,1,3,61,
665,1,4,61,
666,1,5,61,
667,1,6,61,
668,1,7,61,
669,1,8,61,
670,1,9,61,
671,1,10,61,
672,1,0,62,
673,1,1,62,
674,1,2,62,
675,1,3,62,
676,1,4,62,
677,1,5,62,
678,1,6,62,
679,1,7,62,
680,1,8,62,
681,1,9,62,
682,1,10,62,
683,1,0,63,
684,1,1,63,
685,1,2,63,
686,1,3,63,
687,1,4,63,
688,1,5,63,
689,1,6,63,
690,1,7,63,
691,1,8,63,
692,1,9,63,
693,1,10,63,
694,1,0,64,
695,1,1,64,
696,1,2,64,
697,1,3,64,
698,1,4,64,
699,1,5,64,
700,1,6,64,
701,1,7,64,
702,1,8,64,
703,1,9,64,
704,1,10,64,
705,1,0,65,
706,1,1,65,
707,1,2,65,
708,1,3,65,
709,1,4,65,
710,1,5,65,
711,1,6,65,
712,1,7,65,
713,1,8,65,
714,1,9,65,
715,1,10,65,
716,1,0,66,
717,1,1,66,
718,1,2,66,
719,1,3,66,
720,1,4,66,
721,1,5,66,
722,1,6,66,
723,1,7,66,
724,1,8,66,
725,1,9,66,
726,1,10,66,
727,1,0,67,
728,1,1,67,
729,1,2,67,
730,1,3,67,
731,1,4,67,
732,1,5,67,
733,1,6,67,
734,1,7,67,
735,1,8,67,
736,1,9,67,
737,1,10,67,
738,1,0,68,
739,1,1,68,
740,1,2,68,
741,1,3,68,
742,1,4,68,
743,1,5,68,
744,1,6,68,
745,1,7,68,
746,1,8,68,
747,1,9,68,
748,1,10,68,
749,1,0,69,
750,1,1,69,
751,1,2,69,
752,1,3,69,
753,1,4,69,
754,1,5,69,
755,1,6,69,
756,1,7,69,
757,1,8,69,
758,1,9,69,
759,1,10,69,
760,1,0,70,
761,1,1,70,
762,1,2,70,
763,1,3,70,
764,1,4,70,
765,1,5,70,
766,1,6,70,
767,1,7,70,
768,1,8,70,
769,1,9,70,
770,1,10,70,
771,1,0,71,
772,1,1,71,
773,1,2,71,
774,1,3,71,
775,1,4,71,
776,1,5,71,
777,1,6,71,
778,1,7,71,
779,1,8,71,
780,1,9,71,
781,1,10,71,
782,1,0,72,
783,1,1,72,
784,1,2,72,
785,1,3,72,
786,1,4,72,
787,1,5,72,
788,1,6,72,
789,1,7,72,
790,1,8,72,
791,1,9,72,
792,1,10,72,
793,1,0,73,
794,1,1,73,
795,1,2,73,
796,1,3,73,
797,1,4,73,
798,1,5,73,
799,1,6,73,
800,1,7,73,
801,1,8,73,
802,1,9,73,
803,1,10,73,
804,1,0,74,
805,1,1,74,
806,1,2,74,
807,1,3,74,
808,1,4,74,
809,1,5,74,
810,1,6,74,
811,1,7,74,
812,1,8,74,
813,1,9,74,
814,1,10,74,
815,1,0,75,
816,1,1,75,
817,1,2,75,
818,1,3,75,
819,1,4,75,
820,1,5,75,
821,1,6,75,
822,1,7,75,
823,1,8,75,
824,1,9,75,
825,1,10,75,
826,1,0,76,
827,1,1,76,
828,1,2,76,
829,1,3,76,
830,1,4,76,
831,1,5,76,
832,1,6,76,
833,1,7,76,
834,1,8,76,
835,1,9,76,
836,1,10,76,
837,1,0,77,
838,1,1,77,
839,1,2,77,
840,1,3,77,
841,1,4,77,
842,1,5,77,
843,1,6,77,
844,1,7,77,
845,1,8,77,
846,1,9,77,
847,1,10,77,
848,1,0,78,
849,1,1,78,
850,1,2,78,
851,1,3,78,
852,1,4,78,
853,1,5,78,
854,1,6,78,
855,1,7,78,
856,1,8,78,
857,1,9,78,
858,1,10,78,
859,1,0,79,
860,1,1,79,
861,1,2,79,
862,1,3,79,
863,1,4,79,
864,1,5,79,
865,1,6,79,
866,1,7,79,
867,1,8,79,
868,1,9,79,
869,1,10,79,
870,1,0,80,
871,1,1,80,
872,1,2,80,
873,1,3,80,
874,1,4,80,
875,1,5,80,
876,1,6,80,
877,1,7,80,
878,1,8,80,
879,1,9,80,
880,1,10,80,
881,1,0,81,
882,1,1,81,
883,1,2,81,
884,1,3,81,
885,1,4,81,
886,1,5,81,
887,1,6,81,
888,1,7,81,
889,1,8,81,
890,1,9,81,
891,1,10,81,
892,1,0,82,
893,1,1,82,
894,1,2,82,
895,1,3,82,
896,1,4,82,
897,1,5,82,
898,1,6,82,
899,1,7,82,
900,1,8,82,
901,1,9,82,
902,1,10,82,
903,1,0,83,
904,1,1,83,
905,1,2,83,
906,1,3,83,
907,1,4,83,
908,1,5,83,
909,1,6,83,
910,1,7,83,
911,1,8,83,
912,1,9,83,
913,1,10,83,
914,1,0,84,
915,1,1,84,
916,1,2,84,
917,1,3,84,
918,1,4,84,
919,1,5,84,
920,1,6,84,
921,1,7,84,
922,1,8,84,
923,1,9,84,
924,1,10,84,
925,1,0,85,
926,1,1,85,
927,1,2,85,
928,1,3,85,
929,1,4,85,
930,1,5,85,
931,1,6,85,
932,1,7,85,
933,1,8,85,
934,1,9,85,
935,1,10,85,
936,1,0,86,
937,1,1,86,
938,1,2,86,
939,1,3,86,
940,1,4,86,
941,1,5,86,
942,1,6,86,
943,1,7,86,
944,1,8,86,
945,1,9,86,
946,1,10,86,
947,1,0,87,
948,1,1,87,
949,1,2,87,
950,1,3,87,
951,1,4,87,
952,1,5,87,
953,1,6,87,
954,1,7,87,
955,1,8,87,
956,1,9,87,
957,1,10,87,
958,1,0,88,
959,1,1,88,
960,1,2,88,
961,1,3,88,
962,1,4,88,
963,1,5,88,
964,1,6,88,
965,1,7,88,
966,1,8,88,
967,1,9,88,
968,1,10,88,
969,1,0,89,
970,1,1,89,
971,1,2,89,
972,1,3,89,
973,1,4,89,
974,1,5,89,
975,1,6,89,
976,1,7,89,
977,1,8,89,
978,1,9,89,
979,1,10,89,
980,1,0,90,
981,1,1,90,
982,1,2,90,
983,1,3,90,
984,1,4,90,
985,1,5,90,
986,1,6,90,
987,1,7,90,
988,1,8,90,
989,1,9,90,
990,1,10,90,
991,1,0,91,
992,1,1,91,
993,1,2,91,
994,1,3,91,
995,1,4,91,
996,1,5,91,
997,1,6,91,
998,1,7,91,
999,1,8,91,
1000,1,9,91,
1001,1,10,91,
1002,1,0,92,
1003,1,1,92,
1004,1,2,92,
1005,1,3,92,
1006,1,4,92,
1007,1,5,92,
1008,1,6,92,
1009,1,7,92,
1010,1,8,92,
1011,1,9,92,
1012,1,10,92,
1013,1,0,93,
1014,1,1,93,
1015,1,2,93,
1016,1,3,93,
1017,1,4,93,
1018,1,5,93,
1019,1,6,93,
1020,1,7,93,
1021,1,8,93,
1022,1,9,93,
1023,1,10,93,
1024,1,0,94,
1025,1,1,94,
1026,1,2,94,
1027,1,3,94,
1028,1,4,94,
1029,1,5,94,
1030,1,6,94,
1031,1,7,94,
1032,1,8,94,
1033,1,9,94,
1034,1,10,94,
1035,1,0,95,
1036,1,1,95,
1037,1,2,95,
1038,1,3,95,
1039,1,4,95,
1040,1,5,95,
1041,1,6,95,
1042,1,7,95,
1043,1,8,95,
1044,1,9,95,
1045,1,10,95,
1046,1,0,96,
1047,1,1,96,
1048,1,2,96,
1049,1,3,96,
1050,1,4,96,
1051,1,5,96,
1052,1,6,96,
1053,1,7,96,
1054,1,8,96,
1055,1,9,96,
1056,1,10,96,
1057,1,0,97,
1058,1,1,97,
1059,1,2,97,
1060,1,3,97,
1061,1,4,97,
1062,1,5,97,
1063,1,6,97,
1064,1,7,97,
1065,1,8,97,
1066,1,9,97,
1067,1,10,97,
1068,1,0,98,
1069,1,1,98,
1070,1,2,98,
1071,1,3,98,
1072,1,4,98,
1073,1,5,98,
1074,1,6,98,
1075,1,7,98,
1076,1,8,98,
1077,1,9,98,
1078,1,10,98,
1079,1,0,99,
1080,1,1,99,
1081,1,2,99,
1082,1,3,99,
1083,1,4,99,
1084,1,5,99,
1085,1,6,99,
1086,1,7,99,
1087,1,8,99,
1088,1,9,99,
1089,1,10,99,
1090,1,0,100,
1091,1,1,100,
1092,1,2,100,
1093,1,3,100,
1094,1,4,100,
1095,1,5,100,
1096,1,6,100,
1097,1,7,100,
1098,1,8,100,
1099,1,9,100,
1100,1,10,100,
1101,2,0,1,
1102,2,1,1,
1103,2,2,1,
1104,2,3,1,
1105,2,4,1,
1106,2,5,1,
1107,2,6,1,
1108,2,7,1,
1109,2,8,1,
1110,2,9,1,
1111,2,10,1,
1112,2,0,2,
1113,2,1,2,
1114,2,2,2,
1115,2,3,2,
1116,2,4,2,
1117,2,5,2,
1118,2,6,2,
1119,2,7,2,
1120,2,8,2,
1121,2,9,2,
1122,2,10,2,
1123,2,0,3,
1124,2,1,3,
1125,2,2,3,
1126,2,3,3,
1127,2,4,3,
1128,2,5,3,
1129,2,6,3,
1130,2,7,3,
1131,2,8,3,
1132,2,9,3,
1133,2,10,3,
1134,2,0,4,
1135,2,1,4,
1136,2,2,4,
1137,2,3,4,
1138,2,4,4,
1139,2,5,4,
1140,2,6,4,
1141,2,7,4,
1142,2,8,4,
1143,2,9,4,
1144,2,10,4,
1145,2,0,5,
1146,2,1,5,
1147,2,2,5,
1148,2,3,5,
1149,2,4,5,
1150,2,5,5,
1151,2,6,5,
1152,2,7,5,
1153,2,8,5,
1154,2,9,5,
1155,2,10,5,
1156,2,0,6,
1157,2,1,6,
1158,2,2,6,
1159,2,3,6,
1160,2,4,6,
1161,2,5,6,
1162,2,6,6,
1163,2,7,6,
1164,2,8,6,
1165,2,9,6,
1166,2,10,6,
1167,2,0,7,
1168,2,1,7,
1169,2,2,7,
1170,2,3,7,
1171,2,4,7,
1172,2,5,7,
1173,2,6,7,
1174,2,7,7,
1175,2,8,7,
1176,2,9,7,
1177,2,10,7,
1178,2,0,8,
1179,2,1,8,
1180,2,2,8,
1181,2,3,8,
1182,2,4,8,
1183,2,5,8,
1184,2,6,8,
1185,2,7,8,
1186,2,8,8,
1187,2,9,8,
1188,2,10,8,
1189,2,0,9,
1190,2,1,9,
1191,2,2,9,
1192,2,3,9,
1193,2,4,9,
1194,2,5,9,
1195,2,6,9,
1196,2,7,9,
1197,2,8,9,
1198,2,9,9,
1199,2,10,9,
1200,2,0,10,
1201,2,1,10,
1202,2,2,10,
1203,2,3,10,
1204,2,4,10,
1205,2,5,10,
1206,2,6,10,
1207,2,7,10,
1208,2,8,10,
1209,2,9,10,
1210,2,10,10,
1211,2,0,11,
1212,2,1,11,
1213,2,2,11,
1214,2,3,11,
1215,2,4,11,
1216,2,5,11,
1217,2,6,11,
1218,2,7,11,
1219,2,8,11,
1220,2,9,11,
1221,2,10,11,
1222,2,0,12,
1223,2,1,12,
1224,2,2,12,
1225,2,3,12,
1226,2,4,12,
1227,2,5,12,
1228,2,6,12,
1229,2,7,12,
1230,2,8,12,
1231,2,9,12,
1232,2,10,12,
1233,2,0,13,
1234,2,1,13,
1235,2,2,13,
1236,2,3,13,
1237,2,4,13,
1238,2,5,13,
1239,2,6,13,
1240,2,7,13,
1241,2,8,13,
1242,2,9,13,
1243,2,10,13,
1244,2,0,14,
1245,2,1,14,
1246,2,2,14,
1247,2,3,14,
1248,2,4,14,
1249,2,5,14,
1250,2,6,14,
1251,2,7,14,
1252,2,8,14,
1253,2,9,14,
1254,2,10,14,
1255,2,0,15,
1256,2,1,15,
1257,2,2,15,
1258,2,3,15,
1259,2,4,15,
1260,2,5,15,
1261,2,6,15,
1262,2,7,15,
1263,2,8,15,
1264,2,9,15,
1265,2,10,15,
1266,2,0,16,
1267,2,1,16,
1268,2,2,16,
1269,2,3,16,
1270,2,4,16,
1271,2,5,16,
1272,2,6,16,
1273,2,7,16,
1274,2,8,16,
1275,2,9,16,
1276,2,10,16,
1277,2,0,17,
1278,2,1,17,
1279,2,2,17,
1280,2,3,17,
1281,2,4,17,
1282,2,5,17,
1283,2,6,17,
1284,2,7,17,
1285,2,8,17,
1286,2,9,17,
1287,2,10,17,
1288,2,0,18,
1289,2,1,18,
1290,2,2,18,
1291,2,3,18,
1292,2,4,18,
1293,2,5,18,
1294,2,6,18,
1295,2,7,18,
1296,2,8,18,
1297,2,9,18,
1298,2,10,18,
1299,2,0,19,
1300,2,1,19,
1301,2,2,19,
1302,2,3,19,
1303,2,4,19,
1304,2,5,19,
1305,2,6,19,
1306,2,7,19,
1307,2,8,19,
1308,2,9,19,
1309,2,10,19,
1310,2,0,20,
1311,2,1,20,
1312,2,2,20,
1313,2,3,20,
1314,2,4,20,
1315,2,5,20,
1316,2,6,20,
1317,2,7,20,
1318,2,8,20,
1319,2,9,20,
1320,2,10,20,
1321,2,0,21,
1322,2,1,21,
1323,2,2,21,
1324,2,3,21,
1325,2,4,21,
1326,2,5,21,
1327,2,6,21,
1328,2,7,21,
1329,2,8,21,
1330,2,9,21,
1331,2,10,21,
1332,2,0,22,
1333,2,1,22,
1334,2,2,22,
1335,2,3,22,
1336,2,4,22,
1337,2,5,22,
1338,2,6,22,
1339,2,7,22,
1340,2,8,22,
1341,2,9,22,
1342,2,10,22,
1343,2,0,23,
1344,2,1,23,
1345,2,2,23,
1346,2,3,23,
1347,2,4,23,
1348,2,5,23,
1349,2,6,23,
1350,2,7,23,
1351,2,8,23,
1352,2,9,23,
1353,2,10,23,
1354,2,0,24,
1355,2,1,24,
1356,2,2,24,
1357,2,3,24,
1358,2,4,24,
1359,2,5,24,
1360,2,6,24,
1361,2,7,24,
1362,2,8,24,
1363,2,9,24,
1364,2,10,24,
1365,2,0,25,
1366,2,1,25,
1367,2,2,25,
1368,2,3,25,
1369,2,4,25,
1370,2,5,25,
1371,2,6,25,
1372,2,7,25,
1373,2,8,25,
1374,2,9,25,
1375,2,10,25,
1376,2,0,26,
1377,2,1,26,
1378,2,2,26,
1379,2,3,26,
1380,2,4,26,
1381,2,5,26,
1382,2,6,26,
1383,2,7,26,
1384,2,8,26,
1385,2,9,26,
1386,2,10,26,
1387,2,0,27,
1388,2,1,27,
1389,2,2,27,
1390,2,3,27,
1391,2,4,27,
1392,2,5,27,
1393,2,6,27,
1394,2,7,27,
1395,2,8,27,
1396,2,9,27,
1397,2,10,27,
1398,2,0,28,
1399,2,1,28,
1400,2,2,28,
1401,2,3,28,
1402,2,4,28,
1403,2,5,28,
1404,2,6,28,
1405,2,7,28,
1406,2,8,28,
1407,2,9,28,
1408,2,10,28,
1409,2,0,29,
1410,2,1,29,
1411,2,2,29,
1412,2,3,29,
1413,2,4,29,
1414,2,5,29,
1415,2,6,29,
1416,2,7,29,
1417,2,8,29,
1418,2,9,29,
1419,2,10,29,
1420,2,0,30,
1421,2,1,30,
1422,2,2,30,
1423,2,3,30,
1424,2,4,30,
1425,2,5,30,
1426,2,6,30,
1427,2,7,30,
1428,2,8,30,
1429,2,9,30,
1430,2,10,30,
1431,2,0,31,
1432,2,1,31,
1433,2,2,31,
1434,2,3,31,
1435,2,4,31,
1436,2,5,31,
1437,2,6,31,
1438,2,7,31,
1439,2,8,31,
1440,2,9,31,
1441,2,10,31,
1442,2,0,32,
1443,2,1,32,
1444,2,2,32,
1445,2,3,32,
1446,2,4,32,
1447,2,5,32,
1448,2,6,32,
1449,2,7,32,
1450,2,8,32,
1451,2,9,32,
1452,2,10,32,
1453,2,0,33,
1454,2,1,33,
1455,2,2,33,
1456,2,3,33,
1457,2,4,33,
1458,2,5,33,
1459,2,6,33,
1460,2,7,33,
1461,2,8,33,
1462,2,9,33,
1463,2,10,33,
1464,2,0,34,
1465,2,1,34,
1466,2,2,34,
1467,2,3,34,
1468,2,4,34,
1469,2,5,34,
1470,2,6,34,
1471,2,7,34,
1472,2,8,34,
1473,2,9,34,
1474,2,10,34,
1475,2,0,35,
1476,2,1,35,
1477,2,2,35,
1478,2,3,35,
1479,2,4,35,
1480,2,5,35,
1481,2,6,35,
1482,2,7,35,
1483,2,8,35,
1484,2,9,35,
1485,2,10,35,
1486,2,0,36,
1487,2,1,36,
1488,2,2,36,
1489,2,3,36,
1490,2,4,36,
1491,2,5,36,
1492,2,6,36,
1493,2,7,36,
1494,2,8,36,
1495,2,9,36,
1496,2,10,36,
